Starting SDDP loop (forward and backward passes)
 Iter | Lower Bound (LB)  | Real Cost (Sim)    | UB Mean +- 95% CI
   99 |         114981.69 |            13068.0 |     122027.0 ± 21282.0
  100 |         114981.69 |           207385.0 |     122881.0 ± 21134.0
  101 |         135301.66 |            27985.0 |     121941.0 ± 21005.0
  102 |         135301.66 |           131890.0 |     122039.0 ± 20799.0
  103 |         135301.66 |           145226.0 |     122264.0 ± 20601.0
  104 |         114981.69 |           136940.0 |     122405.0 ± 20403.0
  105 |         135301.66 |            98383.0 |     122176.0 ± 20213.0
  106 |         135301.66 |           115075.5 |     122109.0 ± 20022.0
  107 |         114981.69 |           211820.0 |     122948.0 ± 19902.0
  108 |         114981.69 |            76756.0 |     122520.0 ± 19735.0
  109 |         135301.66 |           303605.0 |     124181.0 ± 19822.0
  110 |         114981.69 |            76756.0 |     123750.0 ± 19659.0
  111 |         114981.69 |            75750.0 |     123318.0 ± 19500.0
  112 |         114981.69 |           207385.0 |     124068.0 ± 19381.0
  113 |         114981.69 |            81347.0 |     123690.0 ± 19223.0
  114 |         114981.69 |            33545.5 |     122900.0 ± 19116.0
  115 |         114981.69 |           145328.0 |     123095.0 ± 18953.0
  116 |         114981.69 |          173233.33 |     123527.0 ± 18808.0
  117 |         114981.69 |            31585.0 |     122741.0 ± 18710.0
  118 |         114981.69 |            31080.0 |     121964.0 ± 18613.0
  119 |         114981.69 |           145328.0 |     122161.0 ± 18460.0
  120 |         135301.66 |           152919.0 |     122417.0 ± 18313.0
  121 |         135301.66 |           115075.5 |     122356.0 ± 18161.0
  122 |         135301.66 |            61144.0 |     121854.0 ± 18038.0
  123 |         135301.66 |           287698.0 |     123203.0 ± 18085.0
  124 |         135301.66 |             2086.0 |     122226.0 ± 18041.0
  125 |         114981.69 |            75750.0 |     121854.0 ± 17911.0
  126 |         114981.69 |            98749.0 |     121671.0 ± 17772.0
  127 |         135301.66 |            43975.5 |     121059.0 ± 17672.0
  128 |         114981.69 |            96416.0 |     120867.0 ± 17537.0
  129 |         135301.66 |            99614.0 |     120702.0 ± 17404.0
  130 |         135301.66 |           115075.5 |     120658.0 ± 17270.0
  131 |         135301.66 |           185530.0 |     121154.0 ± 17165.0
  132 |         135301.66 |           324485.0 |     122694.0 ± 17300.0
  133 |         114981.69 |            76912.0 |     122350.0 ± 17182.0
  134 |         135301.66 |           317480.0 |     123806.0 ± 17291.0
  135 |         135301.66 |            64062.0 |     123364.0 ± 17184.0
  136 |         114981.69 |           103214.0 |     123215.0 ± 17060.0
  137 |         114981.69 |           265125.0 |     124251.0 ± 17056.0
  138 |         114981.69 |            22909.0 |     123517.0 ± 16993.0
  139 |         135301.66 |           215849.0 |     124181.0 ± 16921.0
  140 |         135301.66 |             1080.0 |     123302.0 ± 16888.0
  141 |         114981.69 |           132475.0 |     123367.0 ± 16768.0
  142 |         135301.66 |            72180.0 |     123006.0 ± 16664.0
  143 |         114981.69 |           108595.5 |     122906.0 ± 16549.0
  144 |         114981.69 |             5686.0 |     122092.0 ± 16510.0
  145 |         135301.66 |            89663.0 |     121868.0 ± 16402.0
  146 |         114981.69 |           265125.0 |     122849.0 ± 16402.0
  147 |         135301.66 |            99614.0 |     122691.0 ± 16293.0
  148 |         114981.69 |          244333.33 |     123513.0 ± 16263.0
  149 |         135301.66 |            43975.5 |     122979.0 ± 16187.0
  150 |         135301.66 |           321099.0 |     124300.0 ± 16286.0
  151 |         114981.69 |            27374.0 |     123658.0 ± 16227.0
  152 |         135301.66 |            39366.0 |     123104.0 ± 16156.0
  153 |         135301.66 |            23774.0 |     122454.0 ± 16101.0
  154 |         135301.66 |           315885.0 |     123710.0 ± 16184.0
  155 |         135301.66 |             2086.0 |     122926.0 ± 16153.0
  156 |         135301.66 |            25631.0 |     122302.0 ± 16095.0
  157 |         135301.66 |            80233.0 |     122034.0 ± 16001.0
  158 |         135301.66 |            77315.0 |     121751.0 ± 15909.0
  159 |         135301.66 |           133340.0 |     121824.0 ± 15809.0
  160 |         135301.66 |            77315.0 |     121546.0 ± 15720.0
  161 |         135301.66 |            70479.0 |     121229.0 ± 15634.0
  162 |         114981.69 |           145328.0 |     121377.0 ± 15540.0
  163 |         135301.66 |            56050.0 |     120977.0 ± 15464.0
  164 |         114981.69 |           230949.0 |     121647.0 ± 15426.0
