Starting SDDP loop (forward and backward passes)
 Iter | Lower Bound (LB)  | Real Cost (Sim)    | UB Mean +- 95% CI
  433 |         135301.66 |           321099.0 |      128711.0 ± 9657.0
  434 |         135301.66 |            86650.0 |      128614.0 ± 9636.0
  435 |         135301.66 |           152919.0 |      128670.0 ± 9615.0
  436 |         114981.69 |           138995.0 |      128693.0 ± 9593.0
  437 |         135301.66 |            43444.5 |      128498.0 ± 9578.0
  438 |         114981.69 |          173233.33 |      128600.0 ± 9559.0
  439 |         135301.66 |           207249.0 |      128780.0 ± 9543.0
  440 |         114981.69 |           265125.0 |      129089.0 ± 9541.0
  441 |         114981.69 |            13068.0 |      128826.0 ± 9533.0
  442 |         135301.66 |           215849.0 |      129023.0 ± 9519.0
  443 |         114981.69 |           230949.0 |      129253.0 ± 9509.0
  444 |         114981.69 |           139025.0 |      129275.0 ± 9487.0
  445 |         114981.69 |             5656.0 |      128998.0 ± 9482.0
  446 |         114981.69 |           131399.0 |      129003.0 ± 9460.0
  447 |         135301.66 |           261555.0 |      129299.0 ± 9457.0
  448 |         135301.66 |            70624.5 |      129168.0 ± 9439.0
  449 |         135301.66 |           287698.0 |      129522.0 ± 9444.0
  450 |         114981.69 |            81347.0 |      129414.0 ± 9425.0
  451 |         114981.69 |            76756.0 |      129298.0 ± 9407.0
  452 |         114981.69 |           211850.0 |      129480.0 ± 9393.0
  453 |         114981.69 |           136910.0 |      129497.0 ± 9372.0
  454 |         135301.66 |           198745.5 |      129649.0 ± 9356.0
  455 |         135301.66 |            80233.0 |      129541.0 ± 9338.0
  456 |         135301.66 |           188818.0 |      129671.0 ± 9321.0
  457 |         135301.66 |           145226.0 |      129705.0 ± 9301.0
  458 |         114981.69 |           103184.0 |      129647.0 ± 9281.0
  459 |         114981.69 |           131369.0 |      129651.0 ± 9261.0
  460 |         114981.69 |          244333.33 |      129900.0 ± 9254.0
  461 |         114981.69 |            31555.0 |      129687.0 ± 9243.0
  462 |         114981.69 |            27344.0 |      129465.0 ± 9233.0
  463 |         114981.69 |          173233.33 |      129560.0 ± 9215.0
  464 |         114981.69 |            29201.0 |      129343.0 ± 9205.0
  465 |         135301.66 |            99614.0 |      129279.0 ± 9186.0
  466 |         114981.69 |             5656.0 |      129014.0 ± 9181.0
  467 |         114981.69 |           207385.0 |      129182.0 ± 9167.0
  468 |         135301.66 |            61144.0 |      129036.0 ± 9152.0
  469 |         135301.66 |            12966.0 |      128789.0 ± 9146.0
  470 |         114981.69 |           211820.0 |      128966.0 ± 9133.0
  471 |         114981.69 |            31050.0 |      128758.0 ± 9122.0
  472 |         135301.66 |           198355.0 |      128905.0 ± 9108.0
  473 |         114981.69 |              215.0 |      128633.0 ± 9104.0
  474 |         114981.69 |           211820.0 |      128809.0 ± 9091.0
  475 |         135301.66 |           179483.0 |      128915.0 ± 9074.0
  476 |         135301.66 |           315885.0 |      129308.0 ± 9088.0
  477 |         135301.66 |           131890.0 |      129314.0 ± 9069.0
  478 |         114981.69 |            26615.0 |      129099.0 ± 9060.0
  479 |         135301.66 |            89663.0 |      129016.0 ± 9042.0
  480 |         135301.66 |           198355.0 |      129161.0 ± 9028.0
  481 |         114981.69 |           145328.0 |      129194.0 ± 9009.0
  482 |         135301.66 |           135425.0 |      129207.0 ± 8991.0
  483 |         135301.66 |           287698.0 |      129535.0 ± 8995.0
  484 |         135301.66 |            64062.0 |      129400.0 ± 8980.0
  485 |         114981.69 |            99545.0 |      129339.0 ± 8963.0
  486 |         135301.66 |           208250.0 |      129501.0 ± 8950.0
  487 |         114981.69 |           103184.0 |      129447.0 ± 8932.0
  488 |         114981.69 |            81347.0 |      129348.0 ± 8916.0
  489 |         135301.66 |            99614.0 |      129288.0 ± 8898.0
  490 |         135301.66 |            35660.0 |      129097.0 ± 8888.0
  491 |         114981.69 |             4650.0 |      128843.0 ± 8884.0
  492 |         114981.69 |            39468.0 |      128661.0 ± 8873.0
  493 |         135301.66 |           198355.0 |      128803.0 ± 8859.0
  494 |         114981.69 |            71700.0 |      128687.0 ± 8844.0
  495 |         114981.69 |            76786.0 |      128582.0 ± 8829.0
  496 |         114981.69 |            31050.0 |      128386.0 ± 8819.0
  497 |         114981.69 |             5686.0 |      128139.0 ± 8815.0
  498 |         114981.69 |           156489.0 |      128196.0 ± 8798.0
  499 |         135301.66 |           114544.5 |      128168.0 ± 8780.0
  500 |         135301.66 |            27480.0 |      127967.0 ± 8772.0
  501 |         114981.69 |           265155.0 |      128241.0 ± 8771.0
  502 |         114981.69 |            27374.0 |      128040.0 ± 8762.0
  503 |         135301.66 |           169359.0 |      128122.0 ± 8746.0
  504 |         135301.66 |           317480.0 |      128498.0 ± 8760.0
  505 |         114981.69 |          493333.33 |      129220.0 ± 8856.0
  506 |         114981.69 |            84168.0 |      129131.0 ± 8840.0
  507 |         135301.66 |           303605.0 |      129475.0 ± 8849.0
  508 |         135301.66 |           111500.0 |      129440.0 ± 8832.0
  509 |         114981.69 |           213455.0 |      129605.0 ± 8820.0
  510 |         135301.66 |            27283.0 |      129404.0 ± 8812.0
  511 |         114981.69 |           211820.0 |      129566.0 ± 8800.0
  512 |         114981.69 |            99545.0 |      129507.0 ± 8784.0
  513 |         114981.69 |            27344.0 |      129308.0 ± 8775.0
  514 |         135301.66 |           324485.0 |      129688.0 ± 8790.0
  515 |         114981.69 |            33545.5 |      129501.0 ± 8780.0
  516 |         114981.69 |           339585.0 |      129908.0 ± 8799.0
  517 |         114981.69 |            31585.0 |      129718.0 ± 8790.0
  518 |         135301.66 |           287698.0 |      130023.0 ± 8794.0
  519 |         135301.66 |            89663.0 |      129945.0 ± 8778.0
  520 |         114981.69 |           118694.0 |      129923.0 ± 8761.0
  521 |         114981.69 |           103214.0 |      129872.0 ± 8745.0
  522 |         135301.66 |            56050.0 |      129731.0 ± 8733.0
  523 |         135301.66 |           189755.0 |      129846.0 ± 8719.0
  524 |         135301.66 |             1080.0 |      129600.0 ± 8715.0
  525 |         135301.66 |            59756.0 |      129467.0 ± 8703.0
  526 |         114981.69 |            81377.0 |      129375.0 ± 8688.0
  527 |         114981.69 |           131369.0 |      129379.0 ± 8671.0
  528 |         114981.69 |           156489.0 |      129430.0 ± 8656.0
  529 |         114981.69 |           136940.0 |      129445.0 ± 8639.0
  530 |         135301.66 |            84066.0 |      129359.0 ± 8625.0
  531 |         135301.66 |            27985.0 |      129168.0 ± 8616.0
  532 |         135301.66 |            77777.0 |      129072.0 ± 8602.0
  533 |         135301.66 |            84066.0 |      128987.0 ± 8588.0
  534 |         114981.69 |           136940.0 |      129002.0 ± 8572.0
  535 |         135301.66 |            61144.0 |      128875.0 ± 8559.0
  536 |         114981.69 |            31555.0 |      128694.0 ± 8551.0
  537 |         114981.69 |          173233.33 |      128777.0 ± 8536.0
  538 |         135301.66 |           189755.0 |      128890.0 ± 8523.0
  539 |         114981.69 |           230949.0 |      129079.0 ± 8516.0
  540 |         114981.69 |          244333.33 |      129293.0 ± 8510.0
  541 |         114981.69 |             5656.0 |      129064.0 ± 8506.0
  542 |         135301.66 |            73186.0 |      128961.0 ± 8493.0
  543 |         114981.69 |            81347.0 |      128873.0 ± 8479.0
  544 |         114981.69 |           211850.0 |      129026.0 ± 8469.0
  545 |         135301.66 |           321099.0 |      129378.0 ± 8481.0
  546 |         135301.66 |           152919.0 |      129421.0 ± 8466.0
  547 |         135301.66 |           145226.0 |      129450.0 ± 8451.0
  548 |         114981.69 |           145328.0 |      129479.0 ± 8436.0
  549 |         114981.69 |             4650.0 |      129252.0 ± 8432.0
  550 |         135301.66 |           191350.0 |      129365.0 ± 8420.0
  551 |         135301.66 |            80233.0 |      129276.0 ± 8406.0
  552 |         114981.69 |           213455.0 |      129428.0 ± 8396.0
  553 |         135301.66 |           321099.0 |      129775.0 ± 8408.0
  554 |         114981.69 |            96416.0 |      129715.0 ± 8394.0
  555 |         114981.69 |           132860.0 |      129720.0 ± 8379.0
  556 |         114981.69 |              215.0 |      129487.0 ± 8376.0
  557 |         114981.69 |          173233.33 |      129566.0 ± 8363.0
  558 |         135301.66 |           114544.5 |      129539.0 ± 8348.0
  559 |         135301.66 |           131890.0 |      129543.0 ± 8333.0
  560 |         114981.69 |           103184.0 |      129496.0 ± 8319.0
  561 |         114981.69 |          173233.33 |      129574.0 ± 8305.0
  562 |         114981.69 |           136940.0 |      129587.0 ± 8290.0
  563 |         135301.66 |           165616.0 |      129651.0 ± 8277.0
  564 |         135301.66 |            35660.0 |      129484.0 ± 8268.0
  565 |         135301.66 |            98383.0 |      129429.0 ± 8254.0
  566 |         114981.69 |            26615.0 |      129248.0 ± 8247.0
  567 |         114981.69 |            71315.0 |      129146.0 ± 8235.0
  568 |         114981.69 |            84168.0 |      129066.0 ± 8222.0
  569 |         114981.69 |            98749.0 |      129013.0 ± 8208.0
  570 |         135301.66 |            72180.0 |      128913.0 ± 8196.0
  571 |         135301.66 |           179483.0 |      129002.0 ± 8184.0
  572 |         135301.66 |            35660.0 |      128839.0 ± 8176.0
  573 |         135301.66 |            56050.0 |      128712.0 ± 8165.0
  574 |         114981.69 |            81347.0 |      128629.0 ± 8153.0
  575 |         135301.66 |           315885.0 |      128955.0 ± 8164.0
  576 |         135301.66 |           303605.0 |      129258.0 ± 8171.0
  577 |         135301.66 |            73186.0 |      129161.0 ± 8159.0
  578 |         114981.69 |            22909.0 |      128977.0 ± 8153.0
  579 |         114981.69 |           227330.0 |      129147.0 ± 8146.0
  580 |         114981.69 |           211850.0 |      129290.0 ± 8136.0
  581 |         114981.69 |             4650.0 |      129075.0 ± 8133.0
  582 |         135301.66 |           208250.0 |      129211.0 ± 8124.0
  583 |         135301.66 |            73186.0 |      129115.0 ± 8112.0
  584 |         114981.69 |             4680.0 |      128902.0 ± 8109.0
  585 |         114981.69 |           156489.0 |      128949.0 ± 8095.0
  586 |         135301.66 |           131890.0 |      128954.0 ± 8081.0
  587 |         114981.69 |            81377.0 |      128873.0 ± 8069.0
  588 |         114981.69 |           227330.0 |      129040.0 ± 8062.0
  589 |         135301.66 |           127799.0 |      129038.0 ± 8049.0
  590 |         114981.69 |            76912.0 |      128950.0 ± 8037.0
  591 |         135301.66 |            98383.0 |      128898.0 ± 8024.0
  592 |         135301.66 |            27985.0 |      128728.0 ± 8017.0
  593 |         114981.69 |           211850.0 |      128868.0 ± 8008.0
  594 |         135301.66 |             1080.0 |      128653.0 ± 8006.0
  595 |         135301.66 |             2086.0 |      128440.0 ± 8003.0
  596 |         135301.66 |           131890.0 |      128446.0 ± 7990.0
  597 |         135301.66 |           145226.0 |      128474.0 ± 7977.0
  598 |         114981.69 |             5686.0 |      128269.0 ± 7974.0
  599 |         114981.69 |           136910.0 |      128283.0 ± 7960.0
  600 |         135301.66 |           182401.0 |      128373.0 ± 7949.0
  601 |         114981.69 |           108595.5 |      128340.0 ± 7936.0
  602 |         135301.66 |            43444.5 |      128199.0 ± 7928.0
  603 |         114981.69 |            81347.0 |      128122.0 ± 7916.0
  604 |         135301.66 |           198745.5 |      128239.0 ± 7906.0
  605 |         114981.69 |            76912.0 |      128154.0 ± 7895.0
  606 |         135301.66 |            77777.0 |      128071.0 ± 7883.0
  607 |         135301.66 |            84066.0 |      127998.0 ± 7872.0
  608 |         114981.69 |            99545.0 |      127951.0 ± 7859.0
  609 |         135301.66 |           152919.0 |      127992.0 ± 7847.0
  610 |         135301.66 |           104456.0 |      127954.0 ± 7834.0
  611 |         114981.69 |           132475.0 |      127961.0 ± 7821.0
  612 |         135301.66 |           208844.0 |      128093.0 ± 7813.0
  613 |         135301.66 |            80233.0 |      128015.0 ± 7802.0
  614 |         114981.69 |           131369.0 |      128021.0 ± 7789.0
  615 |         114981.69 |            76786.0 |      127937.0 ± 7778.0
  616 |         114981.69 |           265125.0 |      128160.0 ± 7778.0
  617 |         135301.66 |           185530.0 |      128253.0 ± 7767.0
  618 |         135301.66 |           188818.0 |      128351.0 ± 7757.0
  619 |         114981.69 |            31585.0 |      128195.0 ± 7751.0
  620 |         135301.66 |           198355.0 |      128308.0 ± 7741.0
  621 |         114981.69 |           265125.0 |      128528.0 ± 7741.0
  622 |         135301.66 |            35660.0 |      128379.0 ± 7734.0
  623 |         135301.66 |           185530.0 |      128471.0 ± 7724.0
  624 |         135301.66 |            61144.0 |      128363.0 ± 7714.0
  625 |         135301.66 |            61144.0 |      128255.0 ± 7705.0
  626 |         114981.69 |            76912.0 |      128173.0 ± 7694.0
  627 |         114981.69 |            35744.0 |      128026.0 ± 7687.0
  628 |         114981.69 |            98749.0 |      127979.0 ± 7675.0
  629 |         114981.69 |            75780.0 |      127896.0 ± 7665.0
  630 |         135301.66 |           188818.0 |      127993.0 ± 7655.0
  631 |         135301.66 |           215849.0 |      128132.0 ± 7648.0
  632 |         135301.66 |            73186.0 |      128045.0 ± 7638.0
  633 |         135301.66 |           191350.0 |      128145.0 ± 7628.0
  634 |         114981.69 |           207385.0 |      128270.0 ± 7620.0
  635 |         135301.66 |            43975.5 |      128137.0 ± 7612.0
  636 |         114981.69 |            76912.0 |      128057.0 ± 7602.0
  637 |         135301.66 |            27283.0 |      127899.0 ± 7596.0
  638 |         135301.66 |           169359.0 |      127964.0 ± 7586.0
  639 |         114981.69 |            76756.0 |      127884.0 ± 7575.0
  640 |         135301.66 |            86650.0 |      127819.0 ± 7565.0
  641 |         114981.69 |           136910.0 |      127833.0 ± 7553.0
  642 |         135301.66 |           145226.0 |      127860.0 ± 7541.0
  643 |         135301.66 |           115075.5 |      127840.0 ± 7530.0
  644 |         114981.69 |          244333.33 |      128021.0 ± 7526.0
  645 |         135301.66 |           261555.0 |      128228.0 ± 7525.0
  646 |         114981.69 |          173233.33 |      128298.0 ± 7515.0
  647 |         135301.66 |           198355.0 |      128406.0 ± 7506.0
  648 |         114981.69 |            76912.0 |      128327.0 ± 7496.0
  649 |         114981.69 |              600.0 |      128130.0 ± 7495.0
  650 |         114981.69 |            29201.0 |      127978.0 ± 7489.0
  651 |         135301.66 |            27480.0 |      127824.0 ± 7484.0
  652 |         114981.69 |           227330.0 |      127976.0 ± 7478.0
  653 |         135301.66 |           104456.0 |      127940.0 ± 7467.0
  654 |         114981.69 |           339585.0 |      128264.0 ± 7483.0
  655 |         114981.69 |            31555.0 |      128116.0 ± 7477.0
  656 |         135301.66 |            99614.0 |      128073.0 ± 7466.0
  657 |         114981.69 |            33545.5 |      127929.0 ± 7460.0
  658 |         135301.66 |            86650.0 |      127866.0 ± 7450.0
  659 |         135301.66 |           287698.0 |      128109.0 ± 7453.0
  660 |         135301.66 |            12966.0 |      127934.0 ± 7450.0
  661 |         135301.66 |           315885.0 |      128218.0 ± 7460.0
  662 |         135301.66 |            43444.5 |      128090.0 ± 7452.0
  663 |         114981.69 |            27000.0 |      127938.0 ± 7447.0
  664 |         114981.69 |          493333.33 |      128488.0 ± 7514.0
  665 |         114981.69 |            29201.0 |      128339.0 ± 7508.0
  666 |         135301.66 |           220136.0 |      128477.0 ± 7502.0
  667 |         135301.66 |           145226.0 |      128502.0 ± 7491.0
  668 |         135301.66 |            77315.0 |      128425.0 ± 7481.0
  669 |         114981.69 |            29231.0 |      128277.0 ± 7475.0
  670 |         114981.69 |            76912.0 |      128200.0 ± 7466.0
  671 |         114981.69 |           201713.0 |      128310.0 ± 7458.0
  672 |         135301.66 |             1080.0 |      128121.0 ± 7456.0
  673 |         114981.69 |            96416.0 |      128073.0 ± 7445.0
  674 |         114981.69 |            76786.0 |      127997.0 ± 7436.0
  675 |         135301.66 |            43444.5 |      127872.0 ± 7429.0
  676 |         114981.69 |           103184.0 |      127836.0 ± 7418.0
  677 |         114981.69 |             4680.0 |      127654.0 ± 7416.0
  678 |         114981.69 |            31585.0 |      127512.0 ± 7410.0
  679 |         114981.69 |           227330.0 |      127659.0 ± 7405.0
  680 |         135301.66 |            61144.0 |      127561.0 ± 7396.0
  681 |         114981.69 |            26615.0 |      127413.0 ± 7391.0
  682 |         114981.69 |            27374.0 |      127266.0 ± 7386.0
  683 |         135301.66 |            23774.0 |      127115.0 ± 7381.0
  684 |         135301.66 |            99614.0 |      127074.0 ± 7371.0
  685 |         135301.66 |            27283.0 |      126929.0 ± 7366.0
  686 |         114981.69 |            27000.0 |      126783.0 ± 7360.0
  687 |         114981.69 |           131369.0 |      126790.0 ± 7350.0
  688 |         135301.66 |           133340.0 |      126799.0 ± 7339.0
  689 |         135301.66 |           240526.0 |      126964.0 ± 7335.0
  690 |         135301.66 |           198745.5 |      127068.0 ± 7328.0
  691 |         135301.66 |            86650.0 |      127010.0 ± 7318.0
  692 |         135301.66 |             2086.0 |      126829.0 ± 7316.0
  693 |         135301.66 |           165616.0 |      126885.0 ± 7306.0
  694 |         114981.69 |            75750.0 |      126812.0 ± 7297.0
  695 |         114981.69 |           201713.0 |      126919.0 ± 7290.0
  696 |         114981.69 |           145328.0 |      126946.0 ± 7279.0
  697 |         114981.69 |           213455.0 |      127070.0 ± 7273.0
  698 |         135301.66 |             1080.0 |      126890.0 ± 7271.0
  699 |         114981.69 |            31050.0 |      126752.0 ± 7266.0
  700 |         114981.69 |           156489.0 |      126795.0 ± 7256.0
  701 |         114981.69 |            31050.0 |      126658.0 ± 7250.0
  702 |         114981.69 |            81347.0 |      126594.0 ± 7241.0
  703 |         135301.66 |             1080.0 |      126415.0 ± 7239.0
  704 |         135301.66 |           111500.0 |      126394.0 ± 7229.0
  705 |         114981.69 |             4650.0 |      126221.0 ± 7227.0
  706 |         114981.69 |            71315.0 |      126144.0 ± 7218.0
  707 |         135301.66 |            39366.0 |      126021.0 ± 7212.0
  708 |         135301.66 |           115075.5 |      126005.0 ± 7202.0
  709 |         114981.69 |            29231.0 |      125869.0 ± 7197.0
  710 |         114981.69 |          493333.33 |      126386.0 ± 7258.0
  711 |         114981.69 |            27000.0 |      126247.0 ± 7253.0
  712 |         135301.66 |           185530.0 |      126330.0 ± 7244.0
  713 |         114981.69 |            13068.0 |      126171.0 ± 7241.0
  714 |         135301.66 |            86650.0 |      126116.0 ± 7231.0
  715 |         135301.66 |           131890.0 |      126124.0 ± 7221.0
  716 |         114981.69 |           265155.0 |      126318.0 ± 7221.0
  717 |         114981.69 |           213455.0 |      126439.0 ± 7215.0
  718 |         135301.66 |           208250.0 |      126553.0 ± 7209.0
  719 |         114981.69 |            81347.0 |      126491.0 ± 7200.0
  720 |         114981.69 |            99545.0 |      126453.0 ± 7190.0
  721 |         114981.69 |            76786.0 |      126384.0 ± 7181.0
  722 |         135301.66 |           317480.0 |      126649.0 ± 7190.0
  723 |         114981.69 |           265155.0 |      126840.0 ± 7190.0
  724 |         114981.69 |           103214.0 |      126808.0 ± 7180.0
  725 |         135301.66 |           198355.0 |      126907.0 ± 7173.0
  726 |         135301.66 |            39366.0 |      126786.0 ± 7167.0
  727 |         114981.69 |          493333.33 |      127290.0 ± 7225.0
  728 |         135301.66 |           198745.5 |      127388.0 ± 7218.0
  729 |         135301.66 |           188818.0 |      127473.0 ± 7210.0
  730 |         114981.69 |              215.0 |      127298.0 ± 7208.0
  731 |         114981.69 |           339585.0 |      127589.0 ± 7220.0
  732 |         135301.66 |            70479.0 |      127511.0 ± 7212.0
  733 |         114981.69 |          493333.33 |      128010.0 ± 7268.0
  734 |         114981.69 |            31080.0 |      127878.0 ± 7263.0
  735 |         135301.66 |            23774.0 |      127736.0 ± 7259.0
  736 |         135301.66 |            89663.0 |      127684.0 ± 7249.0
  737 |         114981.69 |            22909.0 |      127542.0 ± 7245.0
  738 |         135301.66 |            12966.0 |      127387.0 ± 7242.0
  739 |         135301.66 |           220136.0 |      127512.0 ± 7236.0
  740 |         135301.66 |            33356.0 |      127385.0 ± 7230.0
  741 |         135301.66 |           165616.0 |      127437.0 ± 7221.0
  742 |         135301.66 |           110053.0 |      127413.0 ± 7212.0
  743 |         114981.69 |           118694.0 |      127402.0 ± 7202.0
  744 |         114981.69 |           103214.0 |      127369.0 ± 7193.0
  745 |         135301.66 |           208250.0 |      127478.0 ± 7186.0
  746 |         135301.66 |           145226.0 |      127501.0 ± 7177.0
  747 |         114981.69 |           227330.0 |      127635.0 ± 7172.0
  748 |         114981.69 |            27374.0 |      127501.0 ± 7167.0
  749 |         114981.69 |            33545.5 |      127376.0 ± 7162.0
  750 |         135301.66 |           315885.0 |      127627.0 ± 7169.0
  751 |         114981.69 |           265155.0 |      127810.0 ± 7169.0
  752 |         114981.69 |            84168.0 |      127752.0 ± 7160.0
  753 |         135301.66 |           303605.0 |      127986.0 ± 7165.0
  754 |         135301.66 |            56050.0 |      127890.0 ± 7158.0
  755 |         114981.69 |             5686.0 |      127728.0 ± 7156.0
  756 |         135301.66 |            70479.0 |      127653.0 ± 7148.0
  757 |         114981.69 |            31555.0 |      127526.0 ± 7142.0
  758 |         114981.69 |           265155.0 |      127707.0 ± 7142.0
  759 |         135301.66 |           208844.0 |      127814.0 ± 7136.0
  760 |         135301.66 |           315885.0 |      128062.0 ± 7143.0
  761 |         135301.66 |            12966.0 |      127910.0 ± 7139.0
  762 |         114981.69 |            31555.0 |      127784.0 ± 7134.0
  763 |         135301.66 |            27283.0 |      127652.0 ± 7130.0
  764 |         114981.69 |            31080.0 |      127526.0 ± 7125.0
  765 |         135301.66 |           114544.5 |      127509.0 ± 7115.0
  766 |         114981.69 |            27344.0 |      127378.0 ± 7111.0
  767 |         114981.69 |           201713.0 |      127475.0 ± 7104.0
  768 |         135301.66 |            73186.0 |      127404.0 ± 7096.0
  769 |         114981.69 |            29231.0 |      127277.0 ± 7091.0
  770 |         135301.66 |           145226.0 |      127300.0 ± 7082.0
  771 |         114981.69 |           103184.0 |      127269.0 ± 7073.0
  772 |         114981.69 |           132475.0 |      127275.0 ± 7064.0
  773 |         114981.69 |             5686.0 |      127118.0 ± 7062.0
  774 |         135301.66 |            70479.0 |      127045.0 ± 7054.0
  775 |         114981.69 |             5656.0 |      126888.0 ± 7052.0
  776 |         114981.69 |           207385.0 |      126992.0 ± 7045.0
  777 |         135301.66 |           317480.0 |      127237.0 ± 7053.0
  778 |         114981.69 |             4650.0 |      127080.0 ± 7050.0
  779 |         135301.66 |            35660.0 |      126962.0 ± 7045.0
  780 |         135301.66 |           220136.0 |      127082.0 ± 7040.0
  781 |         114981.69 |           207385.0 |      127184.0 ± 7034.0
  782 |         135301.66 |           317480.0 |      127428.0 ± 7041.0
  783 |         114981.69 |            76756.0 |      127363.0 ± 7033.0
  784 |         135301.66 |           179483.0 |      127430.0 ± 7025.0
  785 |         135301.66 |           261555.0 |      127600.0 ± 7024.0
  786 |         114981.69 |             4650.0 |      127444.0 ± 7022.0
  787 |         135301.66 |           152919.0 |      127476.0 ± 7014.0
  788 |         135301.66 |            27985.0 |      127350.0 ± 7009.0
  789 |         114981.69 |           211820.0 |      127457.0 ± 7003.0
  790 |         135301.66 |           104456.0 |      127428.0 ± 6995.0
  791 |         135301.66 |           131890.0 |      127434.0 ± 6986.0
  792 |         135301.66 |            43975.5 |      127328.0 ± 6980.0
  793 |         114981.69 |           139025.0 |      127343.0 ± 6971.0
  794 |         114981.69 |            22909.0 |      127212.0 ± 6967.0
  795 |         114981.69 |          244333.33 |      127359.0 ± 6965.0
  796 |         135301.66 |            64062.0 |      127279.0 ± 6958.0
  797 |         135301.66 |            33356.0 |      127162.0 ± 6953.0
  798 |         114981.69 |            27374.0 |      127036.0 ± 6948.0
  799 |         135301.66 |           189755.0 |      127115.0 ± 6941.0
  800 |         135301.66 |           208844.0 |      127217.0 ± 6935.0
  801 |         135301.66 |            99614.0 |      127183.0 ± 6927.0
  802 |         135301.66 |            99614.0 |      127148.0 ± 6919.0
  803 |         114981.69 |             5686.0 |      126997.0 ± 6917.0
  804 |         135301.66 |            59756.0 |      126913.0 ± 6910.0
  805 |         114981.69 |            71315.0 |      126844.0 ± 6903.0
  806 |         135301.66 |            72180.0 |      126777.0 ± 6895.0
  807 |         114981.69 |          493333.33 |      127231.0 ± 6944.0
  808 |         135301.66 |           135425.0 |      127241.0 ± 6936.0
  809 |         135301.66 |            84066.0 |      127188.0 ± 6928.0
  810 |         114981.69 |            35744.0 |      127075.0 ± 6923.0
  811 |         114981.69 |           103184.0 |      127045.0 ± 6914.0
  812 |         114981.69 |           227330.0 |      127169.0 ± 6910.0
  813 |         114981.69 |            76756.0 |      127107.0 ± 6903.0
  814 |         114981.69 |          173233.33 |      127163.0 ± 6895.0
  815 |         114981.69 |           145328.0 |      127186.0 ± 6887.0
  816 |         135301.66 |            64062.0 |      127108.0 ± 6880.0
  817 |         135301.66 |           261555.0 |      127273.0 ± 6879.0
  818 |         114981.69 |            27000.0 |      127150.0 ± 6875.0
  819 |         114981.69 |           139025.0 |      127165.0 ± 6867.0
  820 |         135301.66 |           261555.0 |      127329.0 ± 6866.0
  821 |         114981.69 |           230949.0 |      127455.0 ± 6862.0
  822 |         114981.69 |            98749.0 |      127420.0 ± 6854.0
  823 |         135301.66 |           115075.5 |      127405.0 ± 6846.0
  824 |         135301.66 |            23774.0 |      127279.0 ± 6842.0
  825 |         114981.69 |           213455.0 |      127384.0 ± 6836.0
  826 |         114981.69 |            96416.0 |      127346.0 ± 6829.0
  827 |         135301.66 |           198355.0 |      127432.0 ± 6822.0
  828 |         114981.69 |           339585.0 |      127688.0 ± 6833.0
  829 |         135301.66 |           208250.0 |      127785.0 ± 6827.0
  830 |         114981.69 |            27000.0 |      127664.0 ± 6823.0
  831 |         135301.66 |            89663.0 |      127618.0 ± 6815.0
  832 |         135301.66 |           188818.0 |      127692.0 ± 6809.0
  833 |         135301.66 |           104456.0 |      127664.0 ± 6801.0
  834 |         135301.66 |            35660.0 |      127554.0 ± 6796.0
  835 |         114981.69 |           265125.0 |      127718.0 ± 6795.0
  836 |         114981.69 |            13068.0 |      127581.0 ± 6793.0
  837 |         135301.66 |           208844.0 |      127678.0 ± 6787.0
  838 |         135301.66 |           240526.0 |      127813.0 ± 6784.0
  839 |         135301.66 |             1080.0 |      127662.0 ± 6783.0
  840 |         135301.66 |           135425.0 |      127671.0 ± 6775.0
  841 |         135301.66 |           152919.0 |      127701.0 ± 6767.0
  842 |         114981.69 |            33545.5 |      127589.0 ± 6762.0
  843 |         114981.69 |            29231.0 |      127473.0 ± 6758.0
  844 |         135301.66 |           111500.0 |      127454.0 ± 6750.0
  845 |         114981.69 |            35744.0 |      127345.0 ± 6746.0
  846 |         114981.69 |           230949.0 |      127468.0 ± 6742.0
  847 |         135301.66 |           198745.5 |      127552.0 ± 6736.0
  848 |         114981.69 |            71700.0 |      127486.0 ± 6729.0
  849 |         135301.66 |            80233.0 |      127430.0 ± 6722.0
  850 |         114981.69 |           207385.0 |      127524.0 ± 6717.0
  851 |         135301.66 |            35660.0 |      127416.0 ± 6712.0
  852 |         135301.66 |            70624.5 |      127350.0 ± 6706.0
  853 |         135301.66 |            43975.5 |      127252.0 ± 6700.0
  854 |         114981.69 |           145328.0 |      127273.0 ± 6693.0
  855 |         114981.69 |            81347.0 |      127219.0 ± 6686.0
  856 |         114981.69 |            96416.0 |      127183.0 ± 6678.0
  857 |         135301.66 |           191350.0 |      127258.0 ± 6672.0
  858 |         135301.66 |           145226.0 |      127279.0 ± 6664.0
  859 |         114981.69 |           132860.0 |      127286.0 ± 6657.0
  860 |         135301.66 |           114544.5 |      127271.0 ± 6649.0
  861 |         114981.69 |            98749.0 |      127238.0 ± 6642.0
  862 |         135301.66 |           110053.0 |      127218.0 ± 6634.0
  863 |         114981.69 |              600.0 |      127071.0 ± 6633.0
  864 |         135301.66 |           185530.0 |      127139.0 ± 6626.0
  865 |         135301.66 |            27480.0 |      127024.0 ± 6622.0
  866 |         135301.66 |           287698.0 |      127209.0 ± 6625.0
  867 |         135301.66 |           152919.0 |      127239.0 ± 6617.0
